City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ahuimanu,US,2021-09-16 01:37:26,21.4447,-157.8378,87.51,66,20,11.5
68,Mar Del Plata,AR,2021-09-16 01:35:00,-38.0023,-57.5575,46.42,87,0,4.61
69,Algeciras,ES,2021-09-16 01:37:27,36.1333,-5.4505,71.28,68,0,8.05
70,Kieta,PG,2021-09-16 01:37:27,-6.2167,155.6333,84.94,65,98,6.51
71,Cayenne,GF,2021-09-16 01:37:27,4.9333,-52.3333,83.08,81,0,1.99
72,Kazanka,UA,2021-09-16 01:37:27,47.8462,32.8218,43.11,36,100,5.66
73,Castro,BR,2021-09-16 01:35:27,-24.7911,-50.0119,57.25,98,100,9.6
74,Hurghada,EG,2021-09-16 01:37:28,27.2574,33.8129,82.44,34,0,16.11
75,Hobart,AU,2021-09-16 01:35:31,-42.8794,147.3294,58.05,61,20,1.01
76,Hermanus,ZA,2021-09-16 01:35:26,-34.4187,19.2345,52.9,79,94,12.33
77,Lorengau,PG,2021-09-16 01:37:28,-2.0226,147.2712,76.68,88,100,8.03
78,Tuktoyaktuk,CA,2021-09-16 01:35:36,69.4541,-133.0374,50.0,76,75,5.75
79,Hualmay,PE,2021-09-16 01:37:28,-11.0964,-77.6139,61.16,85,26,11.14
80,Sola,VU,2021-09-16 01:37:29,-13.8833,167.55,79.29,75,77,8.16
81,Lappeenranta,FI,2021-09-16 01:37:29,61.0587,28.1887,42.78,87,90,3.44
82,Waingapu,ID,2021-09-16 01:37:29,-9.6567,120.2641,86.92,58,41,11.32
83,Port Keats,AU,2021-09-16 01:37:29,-14.25,129.55,88.59,56,10,9.82
84,Tasiilaq,GL,2021-09-16 01:35:20,65.6145,-37.6368,39.36,99,100,6.17
85,Ossora,RU,2021-09-16 01:37:30,59.2353,163.0719,55.33,47,35,4.54
86,Namibe,AO,2021-09-16 01:37:30,-15.1961,12.1522,60.28,86,15,3.8
87,Matay,EG,2021-09-16 01:37:30,28.419,30.7792,74.41,64,0,9.35
88,Oktyabrskoye,RU,2021-09-16 01:37:30,43.0645,44.7417,51.94,100,0,6.71
89,Deputatskiy,RU,2021-09-16 01:37:31,69.3,139.9,43.07,73,100,4.45
90,Yulara,AU,2021-09-16 01:36:12,-25.2406,130.9889,84.04,15,92,10.36
91,Lasa,IT,2021-09-16 01:37:31,46.6166,10.7002,65.28,96,98,1.81
92,Ngunguru,NZ,2021-09-16 01:37:31,-35.6167,174.5,66.16,76,3,14.29
93,Kapaa,US,2021-09-16 01:36:08,22.0752,-159.319,85.98,71,40,5.99
94,Saskylakh,RU,2021-09-16 01:35:18,71.9167,114.0833,42.69,91,100,10.76
95,Samarai,PG,2021-09-16 01:37:31,-10.6167,150.6667,79.47,70,76,16.04
96,Avarua,CK,2021-09-16 01:37:32,-21.2078,-159.775,78.85,69,75,8.05
97,Lazaro Cardenas,MX,2021-09-16 01:37:32,17.9583,-102.2,79.02,85,100,0.54
98,Clyde River,CA,2021-09-16 01:37:32,70.4692,-68.5914,30.42,78,22,7.07
99,Aripuana,BR,2021-09-16 01:33:18,-9.1667,-60.6333,71.38,98,97,1.66
100,Constitucion,CL,2021-09-16 01:37:00,-35.3333,-72.4167,50.79,83,0,9.8
101,Okhotsk,RU,2021-09-16 01:36:56,59.3833,143.3,59.45,66,6,6.85
102,Morehead,US,2021-09-16 01:33:28,37.2711,-87.1764,71.83,97,1,0.0
103,Altamira,BR,2021-09-16 01:37:33,-3.2033,-52.2064,72.43,89,6,3.02
104,Bela Pod Bezdezem,CZ,2021-09-16 01:37:33,50.5012,14.8042,67.12,89,100,5.93
105,Lebu,CL,2021-09-16 01:36:04,-37.6167,-73.65,47.66,85,1,5.66
106,Eyl,SO,2021-09-16 01:37:33,7.9803,49.8164,77.81,80,100,13.53
107,Kavieng,PG,2021-09-16 01:36:27,-2.5744,150.7967,82.67,75,94,12.33
108,Marsh Harbour,BS,2021-09-16 01:35:33,26.5412,-77.0636,82.49,68,25,3.71
109,Hamilton,US,2021-09-16 01:35:45,39.1834,-84.5333,69.94,86,20,4.61
110,Balikpapan,ID,2021-09-16 01:37:35,-1.2675,116.8289,77.99,89,20,3.44
111,Playas,EC,2021-09-16 01:37:35,-2.6333,-80.3833,70.14,86,81,11.9
112,Atbasar,KZ,2021-09-16 01:37:35,51.8,68.3333,60.01,58,97,17.81
113,Berdigestyakh,RU,2021-09-16 01:36:26,62.0989,126.6992,41.29,91,100,7.36
114,Zhigansk,RU,2021-09-16 01:37:36,66.7697,123.3711,45.3,63,98,5.82
115,Merrill,US,2021-09-16 01:37:36,45.1805,-89.6835,60.75,88,1,0.0
116,Fortuna,US,2021-09-16 01:35:49,40.5982,-124.1573,60.93,69,1,4.0
117,College,US,2021-09-16 01:37:36,64.8569,-147.8028,58.59,45,75,6.91
